Data set, Type,Date/Time,selected sum, background sum, efficiency, cross section
[['2lep']],Electrons,15_1731,2954298,45069,0.150498145812225,1920.77339094893
[['2lep']],Muons,15_1731,3558806,12711,0.18128351748643,1943.66501998118
[['2lep']],Electrons,15_1816,3466689,54578,0.176600419662349,1919.82123676297
[['2lep']],Muons,15_1816,4137445,15359,0.21075905317869,1943.39097408145
[['2lep']],Electrons,15_1830,3663601,58080,0.186631530568621,1919.60725911092
[['2lep']],Muons,15_1830,4356207,16445,0.221902662819779,1943.26832073472
[['2lep']],Electrons,15_1837,3787358,60479,0.192935972108128,1919.38217437357
[['2lep']],Muons,15_1837,4485752,17100,0.228501610127607,1943.19615372751
[['2lep']],Electrons,15_1844,3873150,62198,0.197306396799721,1919.20640817974
[['2lep']],Muons,15_1844,4571298,17584,0.23285927384597,1943.12877887823
[['2lep']],Electrons,15_1851,3925680,63193,0.199982385342351,1919.13116648175
[['2lep']],Muons,15_1851,4621743,17950,0.235428912943916,1943.05620315593
[['2lep']],Electrons,15_1900,3961653,63892,0.201814925525942,1919.07211843745
[['2lep']],Muons,15_1900,4655223,18185,0.237134364762712,1943.01221868264
[['2lep']],Electrons,15_2038,3985961,64357,0.203053226106454,1919.03641056632
[['2lep']],Muons,15_2038,4676335,18350,0.238209797821208,1942.9777935674
[['2lep']],Electrons,15_2357,4002597,64702,0.203900698891438,1918.99918132779
[['2lep']],Muons,15_2357,4689868,18472,0.238899161007104,1942.94913787963
[['2lep']],Electrons,16_0005,4014136,64944,0.204488519789846,1918.97222663826
[['2lep']],Muons,16_0005,4698888,18560,0.239358634585525,1942.92735500028
[['2lep']],Electrons,16_0016,4022123,65083,0.204895394347052,1918.96748395471
[['2lep']],Muons,16_0016,4704806,18647,0.23966009407966,1942.90097594993
[['2lep']],Electrons,16_0024,2954298,45069,0.150498145812225,1920.77339094893
[['2lep']],Muons,16_0024,3558806,12711,0.18128351748643,1943.66501998118
