"Data set"," Type","Date/Time","selected sum"," background sum"," efficiency"," cross section",
"[['Zee'], ['Zmumu']]","Electrons","04_1652",3615490,62442.6,0.18418,1916.84219,30
"[['Zee'], ['Zmumu']]","Muons","04_1652",4335470,426.38,0.22085,1950.44026,30
"[['Zee'], ['Zmumu']]","Electrons","04_1829",3601880,62203.9,0.18349,1916.84416,27.5
"[['Zee'], ['Zmumu']]","Muons","04_1829",4318000,402.709,0.21996,1950.45018,27.5
"[['Zee'], ['Zmumu']]","Electrons","04_1910",3585330,61933.4,0.18264,1916.83583,25
"[['Zee'], ['Zmumu']]","Muons","04_1910",4297000,370.64,0.21889,1950.46385,25
"[['Zee'], ['Zmumu']]","Electrons","04_2010",3565450,61584.9,0.18163,1916.83862,22.5
"[['Zee'], ['Zmumu']]","Muons","04_2010",4271390,339.191,0.21758,1950.4772,22.5
"[['Zee'], ['Zmumu']]","Electrons","04_2047",3540820,61123.7,0.18038,1916.85832,20
"[['Zee'], ['Zmumu']]","Muons","04_2047",4239510,305.561,0.21596,1950.49151,20
"[['Zee'], ['Zmumu']]","Electrons","07_2241",2743350,39518.9,0.13975,1922.43145,5
"[['Zee'], ['Zmumu']]","Muons","07_2241",3403340,82.0167,0.17336,1950.58509,5
"[['Zee'], ['Zmumu']]",Electrons,07_2326,1820790.0,22403.7,0.09275486728604969,1926.5294355215265,2.5
"[['Zee'], ['Zmumu']]",Muons,07_2326,2372610.0,42.93,0.12085937992222055,1950.5968048299785,2.5
"[['Zee'], ['Zmumu']]",Electrons,07_2349,3132710.0,49942.4,0.15958682785806202,1919.4336999137593,7.5
"[['Zee'], ['Zmumu']]",Muons,07_2349,3782640.0,119.893,0.1926854918713941,1950.570273130911,7.5
"[['Zee'], ['Zmumu']]",Electrons,08_0024,3311730.0,55364.7,0.1687064827010415,1917.9210204556175,10
"[['Zee'], ['Zmumu']]",Muons,08_0024,3963900.0,159.364,0.20191877134197783,1950.5536766626453,10
"[['Zee'], ['Zmumu']]",Electrons,08_0101,3407820.0,58111.0,0.1736015091442428,1917.2685827247865,12.5
"[['Zee'], ['Zmumu']]",Muons,08_0101,4072110.0,193.464,0.20743092610040148,1950.5394259639734,12.5
"[['Zee'], ['Zmumu']]",Electrons,08_0158,3467620.0,59594.4,0.17664784675797407,1917.0077662005847,15
"[['Zee'], ['Zmumu']]",Muons,08_0158,4145390.0,231.632,0.21116376687941713,1950.5231040727508,15
"[['Zee'], ['Zmumu']]",Electrons,08_0229,3509340.0,60503.8,0.178773151193507,1916.9008273502373,17.5
"[['Zee'], ['Zmumu']]",Muons,08_0229,4198790.0,272.272,0.21388393196674566,1950.5056101448918,17.5
